,huc12,i,j,wght
487,020401010503,87,24,0.17072329036841716
488,020401010503,86,24,0.19277465091044682
489,020401010503,85,24,0.05411304993594666
490,020401010503,88,23,0.09865394570873665
491,020401010503,87,23,0.11922386747427026
492,020401010503,86,23,0.13135311825760318
493,020401010503,85,23,0.0037536361964333118
494,020401050701,50,26,0.003989729856291365
495,020401050701,49,26,0.0013607261485736961
496,020401050701,48,26,0.004572920899914721
497,020401050701,51,25,0.005621108425517573
498,020401050701,50,25,0.10880355636837337
499,020401050701,49,25,0.12880372762254627
500,020401050701,48,25,0.10947786212533389
501,020401050701,47,25,0.0268734707085203
502,020401050701,50,24,0.026865253604817032
503,020401050701,49,24,0.1443688205827216
504,020401050701,48,24,0.13835016168016562
505,020401050701,47,24,0.06520514386893644
506,020401050701,50,23,0.05019839912444036
507,020401050701,49,23,0.12583922139854808
508,020401050701,48,23,0.034483098807317286
509,020401050701,47,23,0.016553219234082473
510,020401050701,49,22,0.00863357954389973
511,020402030801,49,22,2.3787666953322517e-05
512,020402030801,48,22,0.018620122833785304
513,020402030801,49,21,0.11233493153885038
514,020402030801,48,21,0.3122531400571854
515,020402030801,47,21,0.04426631310131647
516,020402030801,47,20,0.09484414728999799
517,020402030801,49,20,0.04751630717642046
518,020402030801,48,20,0.27200987802809284
519,020402030801,49,19,0.0005225887852352379
520,020402030801,48,19,0.09760878352216223
521,020402020502,32,36,0.010988151190917287
522,020402020502,31,36,0.005129986259947697
523,020402020502,32,35,0.23047258007103152
524,020402020502,33,35,0.016140537944879848
525,020402020502,33,34,0.20669157777916985
526,020402020502,31,35,0.1610000139417981
527,020402020502,32,34,0.2227340772184136
528,020402020502,31,34,0.06470407351084163
529,020402020502,32,33,0.02544589124040992
530,020402020502,34,33,0.000125730321232555
531,020402020502,33,33,0.05656738052135936
532,020402050203,32,19,0.05530272200312246
533,020402050203,31,19,0.044368754676989086
534,020402050203,32,18,0.1342549350115134
535,020402050203,31,18,0.1742812784276858
536,020402050203,30,18,0.0027586820873685743
537,020402050203,32,17,0.01893346730643943
538,020402050203,31,17,0.28678864855878594
539,020402050203,30,17,0.08896839475138223
540,020402050203,31,16,0.13102021905769196
541,020402050203,30,16,0.06332289811902155
542,020401060811,53,25,0.0005877235510220808
543,020401060811,52,25,0.0010884114845568244
544,020401060811,53,24,0.0799024018273352
545,020401060811,52,24,0.07388151594971691
546,020401060811,53,23,0.0604544905583881
547,020401060811,52,23,0.1101785696907041
548,020401060811,53,22,6.447765480940333e-05
549,020401060811,52,22,0.05819598022826988
550,020401060811,52,21,0.00043234451668763526
551,020401060811,51,24,0.0005331021100906258
552,020401060811,51,23,0.09640893328788583
553,020401060811,50,23,0.05387773727189777
554,020401060811,49,23,0.00062096033637003
555,020401060811,51,22,0.11017940630877276
556,020401060811,50,22,0.11017919944651472
557,020401060811,49,22,0.04173503126429247
558,020401060811,51,21,0.045130205193870836
559,020401060811,50,21,0.09824952646917537
560,020401060811,49,21,0.05821066784003821
561,020401060811,50,20,3.8049484804295695e-05
562,020401060811,49,20,5.12655247964905e-05
563,020401030203,79,18,0.03336655505547044
564,020401030203,79,17,0.11005690184432311
565,020401030203,83,18,0.00953667888254468
566,020401030203,82,18,0.1132944395041812
567,020401030203,81,18,0.005350495886945714
568,020401030203,80,18,3.176033108324348e-05
569,020401030203,83,17,0.015511406221751215
570,020401030203,82,17,0.20878484660584506
571,020401030203,81,17,0.23474787166995686
572,020401030203,80,17,0.24477720550245058
573,020401030203,81,16,0.00452562602798723
574,020401030203,80,16,0.02001621246745998
575,020401060306,58,12,0.0017070238657315964
576,020401060306,59,11,0.04092497426354351
577,020401060306,58,11,0.18762797960716984
578,020401060306,57,11,0.0005605231475222281
579,020401060306,59,10,0.00846410496425544
580,020401060306,56,10,0.0004716841171473656
581,020401060306,58,10,0.25695530727306376
582,020401060306,57,10,0.09132547977054764
583,020401060306,58,9,0.084307588589239
584,020401060306,57,9,0.200688006246058
585,020401060306,57,8,0.12110953474038787
586,020401060306,57,7,0.00166013395810174
587,020401060306,56,9,0.0009678884448559438
588,020401060306,56,8,0.003227508470813261
589,020401060306,56,7,2.2625415647204646e-06
590,020402020401,37,37,0.023823579950402515
591,020402020401,38,36,0.03138089082001731
592,020402020401,36,37,0.011635576843471608
593,020402020401,36,36,0.10662654445112872
594,020402020401,37,36,0.14427883710489056
595,020402020401,38,35,0.02256824514298849
596,020402020401,37,35,0.17606927865469613
597,020402020401,38,34,0.09725931872313635
598,020402020401,36,35,0.10245253896747386
599,020402020401,36,34,0.044659887787371566
600,020402020401,37,33,0.012075865223688967
601,020402020401,37,34,0.1746477021366792
602,020402020401,38,33,0.052521734194054925
603,020402030805,43,23,0.0011815493584855876
604,020402030805,44,22,0.02236194834509482
605,020402030805,43,22,0.09354871235401446
606,020402030805,44,21,0.06671121931328007
607,020402030805,43,21,0.11156532578400641
608,020402030805,45,20,0.06962182439207622
609,020402030805,44,20,0.10825214011321822
610,020402030805,43,20,0.11270036919844831
611,020402030805,46,19,0.0004723511549797004
612,020402030805,45,19,0.08582036906477618
613,020402030805,44,19,0.11067717919005991
614,020402030805,43,19,0.07524690996860693
615,020402030805,42,22,0.003463859489398636
616,020402030805,42,21,0.007434578999334977
617,020402030805,42,20,0.0032853167299641555
618,020402030805,46,18,0.021766494642203083
619,020402030805,45,18,0.0863202595421523
620,020402030805,44,18,0.019115789232596218
621,020402030805,45,17,0.0004538031273039799
622,020402070507,10,36,0.04071612245257285
623,020402070507,9,37,0.008362869061299636
624,020402070507,8,37,0.05270170338806373
625,020402070507,7,37,0.05245650164634186
626,020402070507,9,36,0.13809633241001912
627,020402070507,8,36,0.14081377911963008
628,020402070507,7,36,0.02977323815090248
629,020402070507,9,35,0.11805759959341122
630,020402070507,8,35,0.05914795473212307
631,020402070507,9,34,0.009114125184390311
632,020402070507,11,35,0.005120172642800286
633,020402070507,10,35,0.12230507535146198
634,020402070507,11,34,0.038250262962420505
635,020402070507,10,34,0.14258273530073504
636,020402070507,9,33,0.0004577985171934088
637,020402070507,10,33,0.042043729486636525
638,020402020302,40,38,0.0022109153555315603
639,020402020302,40,37,0.14561062632416077
640,020402020302,39,37,0.04980980339673951
641,020402020302,38,37,0.03424797710263895
642,020402020302,37,37,0.03879986573044206
643,020402020302,40,36,0.1356557702908478
644,020402020302,39,36,0.19502003160958808
645,020402020302,38,36,0.13192595581950328
646,020402020302,37,36,0.03903119965874705
647,020402020302,40,35,0.0882318122459128
648,020402020302,39,35,0.10176719577253747
649,020402020302,40,34,0.022911148130405463
650,020402020302,39,34,0.01477769856294737
651,020402060605,20,38,0.009089956803839163
652,020402060605,19,38,0.035853014258196966
653,020402060605,17,39,0.018917168878704087
654,020402060605,16,39,0.015489547649753292
655,020402060605,15,39,0.006057550284408149
656,020402060605,14,39,9.60448637119511e-05
657,020402060605,18,38,0.04493114279380357
658,020402060605,17,38,0.05834314369260996
659,020402060605,16,38,0.06114411588263551
660,020402060605,15,38,0.061142193699310114
661,020402060605,14,38,0.032702758991575195
662,020402060605,18,37,0.06114829763517111
663,020402060605,17,37,0.06114647851170831
664,020402060605,16,37,0.061144613705026704
665,020402060605,15,37,0.06004396196866888
666,020402060605,14,37,0.0321790772795254
667,020402060605,18,36,0.0560323069490875
668,020402060605,17,36,0.06114696049913192
669,020402060605,16,36,0.058288293597431214
670,020402060605,15,36,0.022589812271596798
671,020402060605,20,37,0.02195358645783911
672,020402060605,19,37,0.061150071051340724
673,020402060605,20,36,0.006175323172547865
674,020402060605,19,36,0.05604407242567515
675,020402060605,18,35,0.0037794970809543124
676,020402060605,17,35,0.01571016485464271
677,020402060605,16,35,0.010334174187897987
678,020402060605,19,35,0.007366670553204325
679,020401010602,82,21,0.06187342506955143
680,020401010602,82,20,0.14096749366252476
681,020401010602,81,20,0.20549480719617516
682,020401010602,80,20,0.0312833765300468
683,020401010602,82,19,0.06305221212874319
684,020401010602,81,19,0.28319106005239203
685,020401010602,80,19,0.09532970429735742
686,020401010602,82,18,0.05326940552374158
687,020401010602,81,18,0.0655385155394644
688,020402030808,43,27,0.004449340021571559
689,020402030808,45,26,0.0007564621741474474
690,020402030808,44,26,0.0159722295796412
691,020402030808,43,26,0.09367604510880698
